City,Cost of Living Index
New York,131
Los Angeles,143.4
Chicago,102
Houston,96.9
Philadelphia,105.3
Phoenix,105.8
Las Vegas,103.1
San Antonio,93.7
San Diego,137.9
Dallas,100.2
San Francisco,183
Indianapolis,91.5
Austin,107.7
Detroit,93.5
Charlotte,99.4
Boston,135.3
Seattle,129.3
Baltimore,109.7
Washington,123.8
Nashville,102.3
Portland,116.75
Atlanta,102.1
Miami,112.8
Honolulu,166.5
Minneapolis,107.5
New Orleans,94.3
Tampa,102.6
Orlando,102.9
Rochester,98.7
Birmingham,91.7
Athens,91.9
Manchester,110.8
Melbourne,100.3
Asheville,105.5
Rome,90.2
Florence,88
Lima,87.5
Aberdeen,95.5
Ottawa,86.9
London,84.6
Warsaw,92.4
Naples,111.7
Victoria,90.4
