City,Cost of Living Rating
San Antonio,Cheap
Indianapolis,Cheap
Detroit,Cheap
New Orleans,Cheap
Birmingham,Cheap
Athens,Cheap
Rome,Cheap
Florence,Cheap
Lima,Cheap
Aberdeen,Cheap
Ottawa,Cheap
Warsaw,Cheap
Victoria,Cheap
Chicago,Reasonable
Houston,Reasonable
Philadelphia,Reasonable
Phoenix,Reasonable
Las Vegas,Reasonable
Dallas,Reasonable
Charlotte,Reasonable
Nashville,Reasonable
Atlanta,Reasonable
Minneapolis,Reasonable
Tampa,Reasonable
Orlando,Reasonable
Rochester,Reasonable
Melbourne,Reasonable
Asheville,Reasonable
New York,Expensive
Los Angeles,Expensive
San Diego,Expensive
San Francisco,Expensive
Austin,Expensive
Boston,Expensive
Seattle,Expensive
Baltimore,Expensive
Washington,Expensive
Portland,Expensive
Miami,Expensive
Honolulu,Expensive
Manchester,Expensive
Naples,Expensive
