City,Quality of Life
New York,61.94
Los Angeles,62.82
Chicago,80.71
Houston,74.08
Philadelphia,65.53
Phoenix,82.55
Las Vegas,60.5
San Antonio,84.88
San Diego,80.18
Dallas,80.56
San Francisco,79.08
Indianapolis,77.13
Austin,86.51
Detroit,50.99
Charlotte,84.39
Boston,82.81
Seattle,84.1
Baltimore,82.0
Washington,76.92
Nashville,80.5
Portland,88.76
Atlanta,80.51
Miami,74.77
Honolulu,79.58
Minneapolis,83.79
New Orleans,81.2
Tampa,80.75
Saint Louis,87.51
Newark,73.21
Orlando,82.33
Saint Petersburg,25.97
Rochester,78.05
Birmingham,75.4
Vancouver,71.89
Hamilton,84.83
Athens,30.57
Manchester,73.0
Cambridge,70.61
Melbourne,68.99
Asheville,81.34
Rome,26.8
Vienna,77.21
Venice,70.34
Florence,53.73
Bristol,67.91
Wellington,79.83
Brighton,62.62
Dublin,65.27
Oxford,72.09
Lima,22.67
Nottingham,75.88
Glasgow,80.0
Moscow,18.65
Geneva,82.76
Aberdeen,76.77
Berlin,91.17
Paris,52.62
Cairo,17.25
Ottawa,86.11
Belgrade,35.69
Delhi,42.45
Milan,40.8
Leeds,78.06
Leicester,76.19
Toronto,77.02
Lisbon,56.08
Bogota,29.33
Belfast,80.55
Edinburgh,75.03
London,47.89
Warsaw,51.82
Madrid,59.87
Dresden,90.21
Edmonton,89.58
Brisbane,77.07
Hamburg,87.18
Naples,42.92
Perth,74.62
Stockholm,78.58
Liverpool,83.14
Victoria,80.87
Montreal,78.55
Amsterdam,72.85
Nice,68.34
Malaga,67.9
Manila,13.14
Varna,36.03
Darwin,78.52
Cologne,82.82
Johannesburg,51.26
