City,Movehub Rating,Purchase Power,Health Care,Pollution,Crime Rating,Quality of Life Rating
New York,90.53,55.56,51.39,12.01,47.33,Life could be better
Los Angeles,86.86,62.75,68.61,75.2,65.74,Life could be better
Philadelphia,83.31,68.77,54.17,38.64,68.58,Life could be better
Las Vegas,84.88,80.46,66.52,59.73,70.57,Life could be better
Detroit,70.63,73.81,63.05,83.45,76.69,Life could be better
Saint Petersburg,73.1,24.82,46.34,77.98,56.96,Life could be better
Athens,76.78,26.05,46.11,27.44,57.49,Life could be better
Rome,79.07,32.72,61.64,19.84,62.34,Life could be better
Florence,76.63,35.31,67.11,29.44,39.58,Life could be better
Bristol,79.66,39.76,88.89,36.22,42.71,Life could be better
Brighton,80.61,50.56,58.33,50.25,33.12,Life could be better
Dublin,90.45,50.13,41.12,30.54,48.31,Life could be better
Lima,73.19,23.22,53.7,58.49,65.31,Life could be better
Moscow,76.35,24.94,42.3,30.03,53.19,Life could be better
Paris,95.92,47.08,83.33,59.18,53.75,Life could be better
Cairo,67.93,11.9,56.48,86.16,48.81,Life could be better
Belgrade,71.65,21.46,52.53,77.08,37.97,Life could be better
Delhi,77.12,34.39,74.99,73.03,52.56,Life could be better
Milan,81.9,43.43,71.36,22.09,56.2,Life could be better
Lisbon,77.63,32.48,62.38,28.78,40.08,Life could be better
Bogota,70.6,14.52,73.89,14.54,46.02,Life could be better
London,100.0,53.17,69.53,57.95,50.14,Life could be better
Warsaw,76.76,35.77,63.33,86.16,32.03,Life could be better
Madrid,85.37,54.07,73.51,55.77,39.34,Life could be better
Naples,76.27,35.38,41.67,12.01,56.67,Life could be better
Nice,82.55,49.52,87.95,59.19,47.27,Life could be better
Malaga,84.3,45.77,69.17,30.55,9.11,Life could be better
Varna,71.11,20.34,50.23,80.84,36.46,Life could be better
Johannesburg,84.08,53.99,59.98,47.39,83.93,Life could be better
Houston,85.24,71.96,79.44,65.21,61.72,Life is good
San Francisco,85.38,63.54,75.46,17.06,32.25,Life is good
Indianapolis,84.52,80.72,36.66,82.08,30.21,Life is good
Washington,81.74,56.61,64.44,30.55,51.43,Life is good
Miami,84.43,57.79,64.44,22.45,64.85,Life is good
Honolulu,81.31,58.54,57.03,30.28,44.14,Life is good
Newark,84.97,84.39,79.72,62.14,30.21,Life is good
Rochester,82.07,60.78,68.6,31.6,30.21,Life is good
Birmingham,80.85,46.41,75.23,66.53,47.51,Life is good
Vancouver,82.59,48.06,83.73,18.48,30.03,Life is good
Manchester,81.89,62.31,61.42,0.0,24.2,Life is good
Cambridge,82.15,54.76,81.48,57.18,24.22,Life is good
